Name	Count	set_code
Hazoret's Undying Fury	1	HOU
Hour of Devastation	2	HOU
Imminent Doom	2	HOU
Inferno Jet	2	HOU
Khenra Scrapper	6	HOU
Kindled Fury	5	HOU
Kindled Fury	4	DTK
Magmaroth	1	HOU
Manticore Eternal	2	HOU
Open Fire	5	HOU
Puncturing Blow	5	HOU
Sand Strangler	3	HOU
Thorned Moloch	5	HOU
Wildfire Eternal	1	HOU
Ambuscade	5	HOU
Beneath the Sands	5	HOU
Bitterbow Sharpshooters	5	HOU
Devotee of Strength	2	HOU
Dune Diviner	2	HOU
Feral Prowler	6	HOU
Frilled Sandwalla	6	HOU
Gift of Strength	7	HOU
Harrier Naga	4	HOU
Hope Tender	2	HOU
Hour of Promise	1	HOU
Life Goes On	4	HOU
Majestic Myriarch	2	HOU
Nissa's Defeat	3	HOU
Oasis Ritualist	5	HOU
Overcome	2	HOU
Pride Sovereign	1	HOU
Quarry Beetle	2	HOU
Rampaging Hippo	4	HOU
Ramunap Excavator	1	HOU
Ramunap Hydra	1	HOU
Resilient Khenra	1	HOU
Rhonas's Last Stand	1	HOU
Rhonas's Stalwart	6	HOU
Sidewinder Naga	6	HOU
Sifter Wurm	1	HOU
Tenacious Hunter	1	HOU
Uncage the Menagerie	1	HOU
Bloodwater Entity	2	HOU
The Locust God	1	HOU
Obelisk Spider	2	HOU
Resolute Survivors	3	HOU
River Hoopoe	2	HOU
The Scorpion God	1	HOU
Unraveling Mummy	2	HOU
Farm	2	HOU
Consign	3	HOU
Claim	2	HOU
Appeal	2	HOU
Reason	2	HOU
Grind	1	HOU
Refuse	1	HOU
Abandoned Sarcophagus	1	HOU
Crook of Condemnation	1	HOU
Dagger of the Worthy	2	HOU
God-Pharaoh's Gift	1	HOU
Graven Abomination	5	HOU
Manalith	7	HOU
Mirage Mirror	2	HOU
Sunset Pyramid	3	HOU
Wall of Forgotten Pharaohs	5	HOU
Crypt of the Eternals	2	HOU
Desert of the Fervent	6	HOU
Desert of the Glorified	4	HOU
Desert of the Indomitable	5	HOU
Desert of the Mindful	5	HOU
Desert of the True	6	HOU
Dunes of the Dead	2	HOU
Hashep Oasis	1	HOU
Hostile Desert	1	HOU
Ifnir Deadlands	2	HOU
Ipnu Rivulet	1	HOU
Ramunap Ruins	2	HOU
